no.,pants,shirts,sweaters,towels,t-shirts,accuracy
1,0,0,0,0,100,100
2,0,0,0,0,100,100
3,0,0,0,0,100,100
4,0,0,0,0,100,100
5,0,0,0,0,100,100
6,0,0,0,0,100,100
7,0,0,0,0,100,100
8,0,0,0,0,100,100
9,0,0,0,0,100,100
10,0,0,0,0,100,100
11,0,0,0,0,100,100
12,0,0,0,0,100,100
13,0,0,0,0,100,100
14,0,0,0,0,100,100
15,0,0,0,0,100,100
16,0,0,0,0,100,100
17,0,0,0,0,100,100
18,0,0,0,0,100,100
19,0,0,0,5.2631578947,94.7368421053,100
20,0,0,0,0,0,4
1,0,0,0,0,100,100
2,0,0,0,0,100,100
3,0,0,0,0,100,100
4,0,0,0,0,100,100
5,0,0,0,0,100,100
6,0,0,0,0,100,100
7,0,0,0,0,100,100
8,0,0,0,0,100,100
9,0,0,0,0,100,100
10,0,0,0,0,100,100
11,0,0,0,0,100,100
12,0,0,0,0,100,100
13,0,0,0,0,100,100
14,0,0,0,0,100,100
15,0,0,0,0,100,100
16,0,0,0,0,100,100
17,0,0,0,0,100,100
18,0,0,0,0,100,100
19,0,0,0,0,100,100
20,0,0,0,0,0,4
1,0,0,0,0,100,100
2,0,0,0,0,100,100
3,0,0,0,0,100,100
4,0,0,0,0,100,100
5,0,0,0,0,100,100
6,0,0,0,0,100,100
7,0,0,0,0,100,100
8,0,0,0,0,100,100
9,0,0,0,0,100,100
10,0,0,0,0,100,100
11,0,0,0,0,100,100
12,0,0,0,0,100,100
13,0,0,0,0,100,100
14,0,0,0,0,100,100
15,0,0,0,0,100,100
16,0,0,0,0,94.1176470588,100
17,0,0,0,0,88.8888888889,100
18,0,0,0,5.2631578947,84.2105263158,100
19,0,0,0,0,0,4
20,,,,,,
